Marlie Cisneros;El Salvador 4410, C1414BPF CABA, Argentina;padme@att.net;27-15346435-8;https://robohash.org/ajjgfcggd.png;AUTO;2;Contemporáneo y simple pero a su vez elegante y funcional, el Fiat 500 0Km, inspirado en el Chinquechento de hace más de 50 años, es el resultado de la mezcla de aspectos técnicos.;OPO934;Ávalos 1733, Buenos Aires, Argentina;1161675352;367;https://cdn.auto-ies.com/catalog/product/p/0/p0525416-01_120_15.jpg
Lauryn Ho;Maure 3569, C1427EFA CABA, Argentina;falcao@optonline.net;27-35455745-0;https://robohash.org/ajgd.png;AUTO;3;El techo panorámico del Peugeot 2008, además de proporcionar una experiencia única y divertida, ofrece una increíble sensación de libertad.;OIU115;Conesa 1168, C1426AQX CABA, Argentina;1163272422;551;https://www.diariomotor.com/imagenes/picscache/1440x655c/peugeot-2008-04b_1440x655c.jpg
Titus Shah;Humberto 1º 3132, C1231ACL CABA, Argentina;crimsane@live.com;20-44382333-9;https://robohash.org/afxjjgd.png;AUTO;4;Fluence 2017 Disfrutá de las ventajas de la cámara y del sistema de sensores de estacionamiento delanteros y traseros que te ayudan.;GFT526;Bogotá 3822, C1407ESL CABA, Argentina;1137655036;586;http://www.alturotokiralama.com/images/altur_araclar_4_2015-model-fluence-yorumlar.jpg
Alexa Travis;Cucha Cucha 1034, C1405AIL CABA, Argentina;maratb@me.com;27-12345687-2;https://robohash.org/ajeatgd.png;PICKUP;4;Duster 2016, es un compañero de viaje igualmente equipado para la vida diaria como para la aventura.;UHG658;Pergamino 992, C1406FHT CABA, Argentina;1155992098;352;https://acs2.blob.core.windows.net/imgcatalogo/xl/VA_528111c3de32485d9b150219f7cb73fb.jpg
Giancarlo King;Bravard 1130, C1414BXB CABA, Argentina;djupedal@live.com;20-34273586-5;https://robohash.org/ajglkjd.png;AUTO;3;Chevrolet Onix 2015 es un auto con personalidad. Entre otras novedades, cuenta con líneas más agresivas y dinámicas.;IHU457;Las Provincias 3040, C1416DBB CABA, Argentina;1168698268;319;https://acs2.blob.core.windows.net/imgcatalogo/l/VA_4a8d1f5e39d4400ebe1c99a5ea0e6169.jpg
Rohan Fisher;Larrea 264, C1030AAF CABA, Argentina;nighthawk@aol.com;20-25456467-4;https://robohash.org/ajnlkjngd.png;MOTORBIKE;1;Kawasaki Ninja 250R es una Motocicleta originalmente introducida por Kawasaki en 1983 como un modelo de nivel principiante de motocicleta deportiva.;608PJG;Holmberg 1015, Buenos Aires, Argentina;1145437866;474;https://auto.ndtvimg.com/bike-images/big/kawasaki/ninja-h2r/kawasaki-ninja-h2r.jpg
Payten Mcintosh;Punta Arenas 1468, Buenos Aires, Argentina;stevelim@outlook.com;20-32175676-2;https://robohash.org/ajjgfcggd.png;AUTO;5;Argo 2017 El interior del Argo es refinado, de alta calidad y sorprendente. Encanta por la sofisticación en los detalles.;JHF829;Arcos 2205, C1428AFI CABA, Argentina;1147129321;436;https://http2.mlstatic.com/fiat-argo-18-precision-D_NQ_NP_900537-MLA26065224359_092017-F.jpg
Rylan Lin;Virrey Avilés 3153, C1426EEE CABA, Argentina;grolschie@icloud.com;20-23455468-5;https://robohash.org/ajgd.png;PICKUP;7;Ducato 2010 El estilo de la nueva Ducato transmite una sensación inmediata de practicidad y robustez.;KBG132;Lafinur 3276, Buenos Aires, Argentina;1141016270;560;https://acs2.blob.core.windows.net/imgcatalogo/xl/VA_c5e9f069290841c883d0004637e87996.jpg
Fernanda Howe;Rodríguez Peña 1407, C1021ABE CABA, Argentina;kidehen@mac.com;27-32476655-9;https://robohash.org/ajfhggd.png;AUTO;2;Cronos 2017 El panel esboza modernidad y fluidez, compuesto de tres niveles, con tres salidas circulares de aire al centro.;LKJ718;El Salvador 4410, C1414BPF CABA, Argentina;1138301852;485;https://acs2.blob.core.windows.net/imgcatalogo/l/VA_49d899aa2d6e4153bf11f0d97d5377f0.jpg
Asia Flowers;Pres. Luis Sáenz Peña 645, C1110AAM CABA, Argentina;kmself@comcast.net;27-21235246-3;https://robohash.org/ajgersd.png;AUTO;2;Nissan Note 2018 ofrece un rendimiento de combustible excepcional, que te permite viajar más lejos.;HYT979;Maure 3569, C1427EFA CABA, Argentina;1133467950;387;https://acs2.blob.core.windows.net/imgcatalogo/l/VA_8a940845060b4ae287c9b988df7411f7.jpg
